Model,Accuracy,Precision,Recall,F1 Score,MSE,R2 Score
logistic_regression,0.9498495486459378,0.0,0.0,0.0,0.05015045135406219,-0.052798310454065245
random_forest,0.9498495486459378,0.0,0.0,0.0,0.05015045135406219,-0.052798310454065245
naive_bayes,0.8605817452357071,0.13821138211382114,0.34,0.19653179190751446,0.13941825476429287,-1.9267793030623013
svm,0.9498495486459378,0.0,0.0,0.0,0.05015045135406219,-0.052798310454065245
knn,0.9448345035105316,0.0,0.0,0.0,0.055165496489468405,-0.15807814149947186
